DATE,CPIHOSSL
1967-01-01,30.500
1967-02-01,30.500
1967-03-01,30.500
1967-04-01,30.600
1967-05-01,30.700
1967-06-01,30.700
1967-07-01,30.800
1967-08-01,30.900
1967-09-01,31.000
1967-10-01,31.000
1967-11-01,31.100
1967-12-01,31.200
1968-01-01,31.300
1968-02-01,31.400
1968-03-01,31.500
1968-04-01,31.600
1968-05-01,31.700
1968-06-01,31.900
1968-07-01,32.100
1968-08-01,32.300
1968-09-01,32.400
1968-10-01,32.500
1968-11-01,32.700
1968-12-01,32.900
1969-01-01,33.000
1969-02-01,33.100
1969-03-01,33.400
1969-04-01,33.600
1969-05-01,33.700
1969-06-01,33.900
1969-07-01,34.100
1969-08-01,34.300
1969-09-01,34.500
1969-10-01,34.700
1969-11-01,34.800
1969-12-01,35.000
1970-01-01,35.100
1970-02-01,35.400
1970-03-01,35.800
1970-04-01,35.900
1970-05-01,36.100
1970-06-01,36.300
1970-07-01,36.500
1970-08-01,36.600
1970-09-01,36.900
1970-10-01,37.100
1970-11-01,37.300
1970-12-01,37.400
1971-01-01,37.500
1971-02-01,37.500
1971-03-01,37.400
1971-04-01,37.400
1971-05-01,37.600
1971-06-01,37.900
1971-07-01,38.100
1971-08-01,38.200
1971-09-01,38.400
1971-10-01,38.500
1971-11-01,38.600
1971-12-01,38.700
1972-01-01,38.900
1972-02-01,39.000
1972-03-01,39.000
1972-04-01,39.100
1972-05-01,39.200
1972-06-01,39.400
1972-07-01,39.600
1972-08-01,39.700
1972-09-01,39.800
1972-10-01,39.800
1972-11-01,39.900
1972-12-01,40.100
1973-01-01,40.100
1973-02-01,40.200
1973-03-01,40.400
1973-04-01,40.500
1973-05-01,40.600
1973-06-01,40.900
1973-07-01,41.000
1973-08-01,41.300
1973-09-01,41.700
1973-10-01,42.100
1973-11-01,42.500
1973-12-01,42.800
1974-01-01,43.300
1974-02-01,43.600
1974-03-01,44.100
1974-04-01,44.400
1974-05-01,44.900
1974-06-01,45.400
1974-07-01,45.900
1974-08-01,46.500
1974-09-01,47.100
1974-10-01,47.700
1974-11-01,48.100
1974-12-01,48.600
1975-01-01,49.000
1975-02-01,49.400
1975-03-01,49.700
1975-04-01,50.000
1975-05-01,50.200
1975-06-01,50.500
1975-07-01,50.700
1975-08-01,51.000
1975-09-01,51.300
1975-10-01,51.500
1975-11-01,52.000
1975-12-01,52.300
1976-01-01,52.600
1976-02-01,52.800
1976-03-01,52.900
1976-04-01,53.100
1976-05-01,53.200
1976-06-01,53.500
1976-07-01,53.800
1976-08-01,54.100
1976-09-01,54.400
1976-10-01,54.600
1976-11-01,54.800
1976-12-01,55.100
1977-01-01,55.600
1977-02-01,55.900
1977-03-01,56.200
1977-04-01,56.500
1977-05-01,56.800
1977-06-01,57.100
1977-07-01,57.600
1977-08-01,57.900
1977-09-01,58.300
1977-10-01,58.600
1977-11-01,59.000
1977-12-01,59.400
1978-01-01,59.700
1978-02-01,60.100
1978-03-01,60.500
1978-04-01,61.000
1978-05-01,61.600
1978-06-01,62.100
1978-07-01,62.700
1978-08-01,63.100
1978-09-01,63.800
1978-10-01,64.500
1978-11-01,64.900
1978-12-01,65.200
