DATE,CPIEDUSL
2017-02-01,138.776
2017-03-01,136.392
2017-04-01,136.017
2017-05-01,135.886
2017-06-01,135.826
2017-07-01,135.692
2017-08-01,135.614
2017-09-01,135.777
2017-10-01,136.113
2017-11-01,136.449
2017-12-01,136.532
2018-01-01,136.607
2018-02-01,136.309
2018-03-01,136.187
2018-04-01,136.177
2018-05-01,136.565
2018-06-01,136.832
2018-07-01,137.054
2018-08-01,137.246
2018-09-01,137.478
2018-10-01,137.408
2018-11-01,136.727
2018-12-01,136.847
2019-01-01,137.031
2019-02-01,137.146
2019-03-01,137.241
2019-04-01,137.424
2019-05-01,137.496
2019-06-01,137.631
2019-07-01,137.873
2019-08-01,138.062
2019-09-01,138.022
2019-10-01,138.166
2019-11-01,138.676
2019-12-01,138.721
2020-01-01,139.117
2020-02-01,139.234
2020-03-01,139.357
2020-04-01,139.613
2020-05-01,139.614
2020-06-01,139.525
2020-07-01,141.051
2020-08-01,141.225
2020-09-01,140.993
2020-10-01,141.128
2020-11-01,141.307
2020-12-01,141.449
2021-01-01,141.544
2021-02-01,141.659
2021-03-01,141.443
2021-04-01,141.975
2021-05-01,142.264
2021-06-01,142.433
2021-07-01,142.637
2021-08-01,142.920
2021-09-01,143.433
2021-10-01,143.631
2021-11-01,143.660
2021-12-01,143.748
2022-01-01,143.903
2022-02-01,143.919
2022-03-01,143.680
2022-04-01,143.439
2022-05-01,143.363
2022-06-01,143.601
2022-07-01,143.356
2022-08-01,143.515
