DATE,CPIFABSL
1967-01-01,34.800
1967-02-01,34.700
1967-03-01,34.700
1967-04-01,34.600
1967-05-01,34.600
1967-06-01,34.900
1967-07-01,35.000
1967-08-01,35.200
1967-09-01,35.200
1967-10-01,35.300
1967-11-01,35.400
1967-12-01,35.500
1968-01-01,35.500
1968-02-01,35.700
1968-03-01,35.800
1968-04-01,36.000
1968-05-01,36.100
1968-06-01,36.100
1968-07-01,36.200
1968-08-01,36.300
1968-09-01,36.500
1968-10-01,36.800
1968-11-01,36.800
1968-12-01,37.000
1969-01-01,37.000
1969-02-01,37.000
1969-03-01,37.100
1969-04-01,37.400
1969-05-01,37.600
1969-06-01,38.000
1969-07-01,38.200
1969-08-01,38.400
1969-09-01,38.600
1969-10-01,38.700
1969-11-01,39.100
1969-12-01,39.500
1970-01-01,39.600
1970-02-01,39.800
1970-03-01,39.800
1970-04-01,39.900
1970-05-01,40.100
1970-06-01,40.100
1970-07-01,40.200
1970-08-01,40.200
1970-09-01,40.400
1970-10-01,40.500
1970-11-01,40.400
1970-12-01,40.500
1971-01-01,40.500
1971-02-01,40.500
1971-03-01,40.900
1971-04-01,41.100
1971-05-01,41.300
1971-06-01,41.500
1971-07-01,41.600
1971-08-01,41.600
1971-09-01,41.600
1971-10-01,41.700
1971-11-01,41.900
1971-12-01,42.300
1972-01-01,42.200
1972-02-01,42.600
1972-03-01,42.600
1972-04-01,42.600
1972-05-01,42.700
1972-06-01,42.800
1972-07-01,43.100
1972-08-01,43.100
1972-09-01,43.500
1972-10-01,43.700
1972-11-01,43.900
1972-12-01,44.100
1973-01-01,44.800
1973-02-01,45.500
1973-03-01,46.500
1973-04-01,47.200
1973-05-01,47.800
1973-06-01,48.300
1973-07-01,48.400
1973-08-01,50.900
1973-09-01,50.900
1973-10-01,51.200
1973-11-01,51.800
1973-12-01,52.300
1974-01-01,52.900
1974-02-01,54.000
1974-03-01,54.500
1974-04-01,54.400
1974-05-01,54.800
1974-06-01,54.900
1974-07-01,54.800
1974-08-01,55.500
1974-09-01,56.600
1974-10-01,57.200
1974-11-01,57.900
1974-12-01,58.600
1975-01-01,58.800
1975-02-01,59.000
1975-03-01,58.900
1975-04-01,58.800
1975-05-01,59.000
1975-06-01,59.600
1975-07-01,60.600
1975-08-01,60.700
1975-09-01,61.000
1975-10-01,61.600
1975-11-01,62.000
1975-12-01,62.300
1976-01-01,62.200
1976-02-01,61.600
1976-03-01,61.300
1976-04-01,61.300
1976-05-01,61.600
1976-06-01,61.700
1976-07-01,62.000
1976-08-01,62.200
1976-09-01,62.500
1976-10-01,62.800
1976-11-01,62.800
1976-12-01,62.900
1977-01-01,63.100
1977-02-01,64.200
1977-03-01,64.500
1977-04-01,65.200
1977-05-01,65.500
1977-06-01,65.900
1977-07-01,66.100
1977-08-01,66.400
1977-09-01,66.600
1977-10-01,66.800
1977-11-01,67.400
1977-12-01,67.500
1978-01-01,68.100
1978-02-01,68.800
1978-03-01,69.600
1978-04-01,70.700
1978-05-01,71.700
1978-06-01,72.800
1978-07-01,73.100
1978-08-01,73.400
1978-09-01,73.700
1978-10-01,74.300
1978-11-01,74.800
1978-12-01,75.200
1979-01-01,76.500
1979-02-01,77.700
1979-03-01,78.400
1979-04-01,78.900
1979-05-01,79.700
1979-06-01,80.000
1979-07-01,80.400
1979-08-01,80.300
1979-09-01,80.900
1979-10-01,81.500
1979-11-01,82.100
1979-12-01,82.800
1980-01-01,83.300
1980-02-01,83.400
1980-03-01,84.100
1980-04-01,84.600
1980-05-01,85.200
1980-06-01,85.700
1980-07-01,86.500
1980-08-01,87.900
1980-09-01,88.900
1980-10-01,89.600
1980-11-01,90.600
1980-12-01,91.200
1981-01-01,91.500
1981-02-01,92.000
1981-03-01,92.500
1981-04-01,92.600
1981-05-01,92.700
1981-06-01,93.100
1981-07-01,93.800
1981-08-01,94.300
1981-09-01,94.700
1981-10-01,94.800
1981-11-01,95.000
1981-12-01,95.200
1982-01-01,95.500
1982-02-01,96.200
1982-03-01,96.100
1982-04-01,96.300
1982-05-01,97.100
1982-06-01,98.000
1982-07-01,98.100
1982-08-01,97.900
1982-09-01,98.000
1982-10-01,98.100
1982-11-01,98.200
1982-12-01,98.100
1983-01-01,98.000
1983-02-01,98.200
1983-03-01,98.800
1983-04-01,99.200
1983-05-01,99.500
1983-06-01,99.600
1983-07-01,99.600
1983-08-01,99.600
1983-09-01,100.000
1983-10-01,100.300
1983-11-01,100.300
1983-12-01,100.600
1984-01-01,101.900
1984-02-01,102.500
1984-03-01,102.800
1984-04-01,102.800
1984-05-01,102.600
1984-06-01,103.000
