DATE,CPIRECSL
2017-02-01,118.182
2017-03-01,118.234
2017-04-01,118.386
2017-05-01,118.391
2017-06-01,118.404
2017-07-01,118.847
2017-08-01,118.929
2017-09-01,118.947
2017-10-01,118.850
2017-11-01,118.621
2017-12-01,118.669
2018-01-01,118.795
2018-02-01,118.874
2018-03-01,118.971
2018-04-01,118.785
2018-05-01,118.729
2018-06-01,119.108
2018-07-01,119.297
2018-08-01,119.000
2018-09-01,119.186
2018-10-01,118.979
2018-11-01,119.308
2018-12-01,119.960
2019-01-01,120.389
2019-02-01,120.094
2019-03-01,120.478
2019-04-01,120.693
2019-05-01,120.187
2019-06-01,120.171
2019-07-01,120.168
2019-08-01,120.462
2019-09-01,120.346
2019-10-01,121.048
2019-11-01,121.503
2019-12-01,121.746
2020-01-01,122.062
2020-02-01,121.898
2020-03-01,122.087
2020-04-01,121.852
2020-05-01,122.723
2020-06-01,122.037
2020-07-01,121.346
2020-08-01,122.055
2020-09-01,122.161
2020-10-01,122.605
2020-11-01,123.133
2020-12-01,122.890
2021-01-01,122.227
2021-02-01,122.890
2021-03-01,123.418
2021-04-01,124.478
2021-05-01,124.719
2021-06-01,124.911
2021-07-01,125.609
2021-08-01,126.202
2021-09-01,126.384
2021-10-01,127.306
2021-11-01,127.061
2021-12-01,126.913
2022-01-01,128.036
2022-02-01,128.972
2022-03-01,129.282
2022-04-01,129.830
2022-05-01,130.304
2022-06-01,130.687
2022-07-01,131.107
2022-08-01,131.384
